Cell,Original Cluster,Cluster Nr
Cell588_1,Group3,3
Cell589_1,Group1,1
Cell590_1,Group2,2
Cell591_1,Group5,5
Cell592_1,Group4,4
Cell593_1,Group1,1
Cell594_1,Group2,2
Cell595_1,Group1,1
Cell596_1,Group2,2
Cell597_1,Group4,4
Cell598_1,Group3,3
Cell599_1,Group3,3
Cell600_1,Group4,4
Cell601_1,Group1,1
Cell602_1,Group3,3
Cell603_1,Group3,3
Cell604_1,Group5,5
Cell605_1,Group1,1
Cell606_1,Group4,4
Cell607_1,Group2,2
Cell608_1,Group5,5
Cell609_1,Group1,1
Cell610_1,Group1,1
Cell611_1,Group4,4
Cell612_1,Group1,1
Cell613_1,Group4,4
Cell614_1,Group5,5
Cell615_1,Group1,1
Cell616_1,Group4,4
Cell617_1,Group2,2
Cell618_1,Group3,3
Cell619_1,Group2,2
Cell620_1,Group2,2
Cell621_1,Group1,1
Cell622_1,Group3,3
Cell623_1,Group2,2
Cell624_1,Group5,5
Cell625_1,Group2,2
Cell626_1,Group2,2
Cell627_1,Group5,5
Cell628_1,Group4,4
Cell629_1,Group3,3
Cell630_1,Group3,3
Cell631_1,Group4,4
Cell632_1,Group5,5
Cell633_1,Group4,4
Cell634_1,Group2,2
Cell635_1,Group3,3
Cell636_1,Group2,2
Cell637_1,Group3,3
Cell638_1,Group3,3
Cell639_1,Group1,1
Cell640_1,Group1,1
Cell641_1,Group1,1
Cell642_1,Group1,1
Cell643_1,Group5,5
Cell644_1,Group4,4
Cell645_1,Group4,4
Cell646_1,Group4,4
Cell647_1,Group3,3
Cell648_1,Group1,1
Cell649_1,Group1,1
Cell650_1,Group4,4
Cell651_1,Group4,4
Cell652_1,Group5,5
Cell653_1,Group5,5
Cell654_1,Group4,4
Cell655_1,Group2,2
Cell656_1,Group5,5
Cell657_1,Group4,4
Cell658_1,Group2,2
Cell659_1,Group3,3
Cell660_1,Group2,2
Cell661_1,Group1,1
Cell662_1,Group1,1
Cell663_1,Group3,3
Cell664_1,Group2,2
Cell665_1,Group1,1
Cell666_1,Group2,2
Cell667_1,Group5,5
Cell668_1,Group4,4
Cell669_1,Group5,5
Cell670_1,Group2,2
Cell671_1,Group4,4
Cell672_1,Group5,5
Cell673_1,Group2,2
Cell674_1,Group3,3
Cell675_1,Group5,5
Cell676_1,Group3,3
Cell677_1,Group5,5
Cell678_1,Group1,1
Cell679_1,Group4,4
Cell680_1,Group2,2
Cell681_1,Group2,2
Cell682_1,Group3,3
Cell683_1,Group5,5
Cell684_1,Group4,4
Cell685_1,Group3,3
Cell686_1,Group2,2
Cell687_1,Group1,1
Cell688_1,Group2,2
Cell689_1,Group1,1
Cell690_1,Group4,4
Cell691_1,Group2,2
Cell692_1,Group3,3
Cell693_1,Group3,3
Cell694_1,Group5,5
Cell695_1,Group2,2
Cell696_1,Group3,3
Cell697_1,Group4,4
Cell698_1,Group3,3
Cell699_1,Group2,2
Cell700_1,Group5,5
Cell701_1,Group4,4
Cell702_1,Group5,5
Cell703_1,Group2,2
Cell704_1,Group3,3
Cell705_1,Group4,4
Cell706_1,Group4,4
Cell707_1,Group3,3
Cell708_1,Group4,4
Cell709_1,Group2,2
Cell710_1,Group5,5
Cell711_1,Group2,2
Cell712_1,Group4,4
Cell713_1,Group3,3
Cell714_1,Group4,4
Cell715_1,Group1,1
Cell716_1,Group4,4
Cell717_1,Group3,3
Cell718_1,Group1,1
Cell719_1,Group2,2
Cell720_1,Group4,4
Cell721_1,Group4,4
Cell722_1,Group2,2
Cell723_1,Group4,4
Cell724_1,Group2,2
Cell725_1,Group4,4
Cell726_1,Group3,3
Cell727_1,Group1,1
Cell728_1,Group3,3
Cell729_1,Group3,3
Cell730_1,Group1,1
Cell731_1,Group4,4
Cell732_1,Group1,1
Cell733_1,Group5,5
Cell734_1,Group3,3
Cell735_1,Group5,5
Cell736_1,Group2,2
Cell737_1,Group3,3
Cell738_1,Group3,3
Cell739_1,Group5,5
Cell740_1,Group4,4
Cell741_1,Group2,2
Cell742_1,Group4,4
Cell743_1,Group4,4
Cell744_1,Group4,4
Cell745_1,Group4,4
Cell746_1,Group1,1
Cell747_1,Group5,5
Cell748_1,Group4,4
Cell749_1,Group3,3
Cell750_1,Group2,2
Cell751_1,Group4,4
Cell752_1,Group4,4
Cell753_1,Group3,3
Cell754_1,Group5,5
Cell755_1,Group1,1
Cell756_1,Group3,3
Cell757_1,Group5,5
Cell758_1,Group3,3
Cell759_1,Group4,4
Cell760_1,Group2,2
Cell761_1,Group3,3
Cell762_1,Group1,1
Cell763_1,Group4,4
Cell764_1,Group5,5
Cell765_1,Group5,5
Cell766_1,Group3,3
Cell767_1,Group3,3
Cell768_1,Group1,1
Cell769_1,Group1,1
Cell770_1,Group1,1
Cell771_1,Group5,5
Cell772_1,Group4,4
Cell773_1,Group2,2
Cell774_1,Group3,3
Cell775_1,Group1,1
Cell776_1,Group4,4
Cell777_1,Group4,4
Cell778_1,Group5,5
Cell779_1,Group3,3
Cell780_1,Group3,3
Cell781_1,Group4,4
Cell782_1,Group5,5
Cell783_1,Group4,4
Cell784_1,Group3,3
Cell785_1,Group1,1
Cell786_1,Group4,4
Cell787_1,Group5,5
Cell788_1,Group1,1
Cell789_1,Group2,2
Cell790_1,Group3,3
Cell791_1,Group4,4
Cell792_1,Group1,1
Cell793_1,Group3,3
Cell794_1,Group5,5
Cell795_1,Group1,1
Cell796_1,Group5,5
Cell797_1,Group3,3
Cell798_1,Group4,4
Cell799_1,Group3,3
Cell800_1,Group4,4
Cell801_1,Group1,1
Cell802_1,Group1,1
Cell803_1,Group1,1
Cell804_1,Group3,3
Cell805_1,Group3,3
Cell806_1,Group2,2
Cell807_1,Group1,1
Cell808_1,Group4,4
Cell809_1,Group1,1
Cell810_1,Group4,4
Cell811_1,Group2,2
Cell812_1,Group4,4
Cell813_1,Group5,5
Cell814_1,Group1,1
Cell815_1,Group1,1
Cell816_1,Group3,3
Cell817_1,Group5,5
Cell818_1,Group5,5
Cell819_1,Group3,3
Cell820_1,Group3,3
Cell821_1,Group2,2
Cell822_1,Group2,2
Cell823_1,Group3,3
Cell824_1,Group1,1
Cell825_1,Group4,4
Cell826_1,Group1,1
Cell827_1,Group5,5
Cell828_1,Group3,3
Cell829_1,Group1,1
Cell830_1,Group1,1
Cell831_1,Group1,1
Cell832_1,Group2,2
Cell833_1,Group5,5
Cell834_1,Group3,3
Cell835_1,Group2,2
Cell836_1,Group5,5
Cell837_1,Group5,5
Cell838_1,Group2,2
Cell839_1,Group3,3
Cell840_1,Group5,5
Cell841_1,Group4,4
Cell842_1,Group2,2
Cell843_1,Group3,3
Cell844_1,Group1,1
Cell845_1,Group5,5
Cell846_1,Group1,1
Cell847_1,Group3,3
Cell848_1,Group3,3
Cell849_1,Group2,2
Cell850_1,Group3,3
Cell851_1,Group1,1
Cell852_1,Group2,2
Cell853_1,Group5,5
Cell854_1,Group3,3
Cell855_1,Group4,4
Cell856_1,Group5,5
Cell857_1,Group4,4
Cell858_1,Group4,4
Cell859_1,Group1,1
Cell860_1,Group1,1
Cell861_1,Group4,4
Cell862_1,Group3,3
Cell863_1,Group1,1
Cell864_1,Group3,3
Cell865_1,Group4,4
Cell866_1,Group5,5
Cell867_1,Group4,4
Cell868_1,Group2,2
Cell869_1,Group3,3
Cell870_1,Group2,2
Cell871_1,Group4,4
Cell872_1,Group4,4
Cell873_1,Group3,3
Cell874_1,Group2,2
Cell875_1,Group4,4
Cell876_1,Group2,2
Cell877_1,Group1,1
Cell878_1,Group2,2
Cell879_1,Group5,5
Cell880_1,Group4,4
Cell881_1,Group4,4
Cell882_1,Group2,2
Cell883_1,Group5,5
Cell884_1,Group2,2
Cell885_1,Group3,3
Cell886_1,Group5,5
Cell887_1,Group5,5
Cell888_1,Group1,1
Cell889_1,Group2,2
Cell890_1,Group2,2
Cell891_1,Group1,1
Cell892_1,Group2,2
Cell893_1,Group4,4
Cell894_1,Group5,5
Cell895_1,Group2,2
Cell896_1,Group1,1
Cell897_1,Group5,5
Cell898_1,Group3,3
Cell899_1,Group5,5
Cell900_1,Group4,4
Cell901_1,Group2,2
Cell902_1,Group1,1
Cell903_1,Group2,2
Cell904_1,Group5,5
Cell905_1,Group2,2
Cell906_1,Group1,1
Cell907_1,Group5,5
Cell908_1,Group1,1
Cell909_1,Group1,1
Cell910_1,Group4,4
Cell911_1,Group5,5
Cell912_1,Group4,4
Cell913_1,Group4,4
Cell914_1,Group2,2
Cell915_1,Group1,1
Cell916_1,Group2,2
Cell917_1,Group3,3
Cell918_1,Group3,3
Cell919_1,Group5,5
Cell920_1,Group4,4
Cell921_1,Group1,1
Cell922_1,Group1,1
Cell923_1,Group1,1
Cell924_1,Group2,2
Cell925_1,Group4,4
Cell926_1,Group2,2
Cell927_1,Group3,3
Cell928_1,Group4,4
Cell929_1,Group2,2
Cell930_1,Group5,5
Cell931_1,Group4,4
Cell932_1,Group2,2
Cell933_1,Group4,4
Cell934_1,Group5,5
Cell935_1,Group5,5
Cell936_1,Group5,5
Cell937_1,Group2,2
Cell938_1,Group5,5
Cell939_1,Group1,1
Cell940_1,Group5,5
Cell941_1,Group2,2
Cell942_1,Group1,1
Cell943_1,Group1,1
Cell944_1,Group5,5
Cell945_1,Group1,1
Cell946_1,Group3,3
Cell947_1,Group3,3
Cell948_1,Group4,4
Cell949_1,Group1,1
Cell950_1,Group3,3
Cell951_1,Group5,5
Cell952_1,Group2,2
Cell953_1,Group3,3
Cell954_1,Group3,3
Cell955_1,Group5,5
Cell956_1,Group1,1
Cell957_1,Group4,4
Cell958_1,Group3,3
Cell959_1,Group2,2
Cell960_1,Group1,1
Cell961_1,Group2,2
Cell962_1,Group2,2
Cell963_1,Group5,5
Cell964_1,Group3,3
Cell965_1,Group4,4
Cell966_1,Group1,1
Cell967_1,Group2,2
Cell968_1,Group3,3
Cell969_1,Group1,1
Cell970_1,Group5,5
Cell971_1,Group4,4
Cell972_1,Group3,3
Cell973_1,Group2,2
Cell974_1,Group3,3
Cell975_1,Group5,5
Cell976_1,Group5,5
Cell977_1,Group3,3
Cell978_1,Group4,4
Cell979_1,Group5,5
Cell980_1,Group1,1
Cell981_1,Group4,4
Cell982_1,Group5,5
Cell983_1,Group5,5
Cell984_1,Group2,2
Cell985_1,Group4,4
Cell986_1,Group2,2
Cell987_1,Group3,3
Cell988_1,Group4,4
Cell989_1,Group1,1
Cell990_1,Group2,2
Cell991_1,Group4,4
Cell992_1,Group3,3
Cell993_1,Group1,1
Cell994_1,Group3,3
Cell995_1,Group2,2
Cell996_1,Group5,5
Cell997_1,Group5,5
Cell998_1,Group1,1
Cell999_1,Group4,4
Cell1000_1,Group2,2
Cell1001_1,Group3,3
Cell1002_1,Group1,1
Cell1003_1,Group4,4
Cell1004_1,Group2,2
Cell1005_1,Group5,5
Cell1006_1,Group3,3
Cell1007_1,Group3,3
Cell1008_1,Group2,2
Cell1009_1,Group4,4
Cell1010_1,Group4,4
Cell1011_1,Group2,2
Cell1012_1,Group1,1
Cell1013_1,Group4,4
Cell1014_1,Group2,2
Cell1015_1,Group5,5
Cell1016_1,Group2,2
Cell1017_1,Group3,3
Cell1018_1,Group1,1
Cell1019_1,Group3,3
Cell1020_1,Group3,3
Cell1021_1,Group3,3
Cell1022_1,Group2,2
Cell1023_1,Group1,1
Cell1024_1,Group2,2
Cell1025_1,Group4,4
Cell1026_1,Group3,3
Cell1027_1,Group3,3
Cell1028_1,Group5,5
Cell1029_1,Group1,1
Cell1030_1,Group3,3
Cell1031_1,Group1,1
Cell1032_1,Group3,3
Cell1033_1,Group4,4
Cell1034_1,Group3,3
Cell1035_1,Group1,1
Cell1036_1,Group2,2
Cell1037_1,Group5,5
Cell1038_1,Group5,5
Cell1039_1,Group5,5
Cell1040_1,Group1,1
Cell1041_1,Group1,1
Cell1042_1,Group5,5
Cell1043_1,Group3,3
Cell1044_1,Group5,5
Cell1045_1,Group2,2
Cell1046_1,Group5,5
Cell1047_1,Group3,3
Cell1048_1,Group4,4
Cell1049_1,Group5,5
Cell1050_1,Group2,2
Cell1051_1,Group4,4
Cell1052_1,Group5,5
Cell1053_1,Group4,4
Cell1054_1,Group2,2
Cell1055_1,Group4,4
Cell1056_1,Group1,1
Cell1057_1,Group3,3
Cell1058_1,Group2,2
Cell1059_1,Group4,4
Cell1060_1,Group1,1
Cell1061_1,Group1,1
Cell1062_1,Group4,4
Cell1063_1,Group2,2
Cell1064_1,Group2,2
Cell1065_1,Group4,4
Cell1066_1,Group1,1
Cell1067_1,Group5,5
Cell1068_1,Group5,5
